Automatic_MS_filename	Batch	Code	Daisy_chain	Date	Instrument	Replicate	Cell_line	Cancer_type	Tissue_type	SIDM	growth_properties	MSI_status	methylation_data	expression_data	cnv_data	crispr_ko_data	fusion_data	drug_data	cancer_type_detail	sample_site	gender	ethnicity	smoking_status	BROAD_ID	COSMIC_ID	CCLE_ID
180822_e0022_p02_6456_3_s_m04_1	P02	6456	No	22/8/18	M04	3	MDA-MB-453	Breast Carcinoma	Breast	SIDM00272	Adherent	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Breast Adenocarcinoma	Pericardial Effusion	Female	White	Unknown	ACH-000910	908122	MDAMB453_BREAST
180822_e0022_p02_6390_1_s_m04_1	P02	6390	No	22/8/18	M04	1	ES8	Ewing's Sarcoma	Bone	SIDM00261	Unknown	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Ewing's Sarcoma	Unknown	Male	Unknown	Unknown	ACH-002109	949155	ES8_BONE
180822_e0022_p02_6456_1_s_m04_1	P02	6456	No	22/8/18	M04	1	MDA-MB-453	Breast Carcinoma	Breast	SIDM00272	Adherent	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Breast Adenocarcinoma	Pericardial Effusion	Female	White	Unknown	ACH-000910	908122	MDAMB453_BREAST
180822_e0022_p02_2921_3_s_m04_1	P02	2921	No	22/8/18	M04	3	HSC-39	Gastric Carcinoma	Stomach	SIDM00045	Unknown	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Signet Ring Cell Gastric Adenocarcinoma	Unknown	Unknown	Unknown	Unknown	ACH-002141	1322224	HSC39_STOMACH
180822_e0022_p02_2495_2_s_m04_1	P02	2495	No	22/8/18	M04	2	NKM-1	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00576	Unknown	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Adult Acute Myeloid Leukemia	Peripheral blood	Unknown	Unknown	Unknown	ACH-002290	908448	NKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_2049_3_s_m04_1	P02	2049	No	22/8/18	M04	3	RPMI-8402	T-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00403	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Childhood T Acute Lymphoblastic Leukemia	Peripheral blood	Female	Unknown	Unknown	ACH-000636	909702	RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_6456_2_s_m04_1	P02	6456	No	22/8/18	M04	2	MDA-MB-453	Breast Carcinoma	Breast	SIDM00272	Adherent	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Breast Adenocarcinoma	Pericardial Effusion	Female	White	Unknown	ACH-000910	908122	MDAMB453_BREAST
180822_e0022_p02_2495_3_s_m04_1	P02	2495	No	22/8/18	M04	3	NKM-1	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00576	Unknown	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Adult Acute Myeloid Leukemia	Peripheral blood	Unknown	Unknown	Unknown	ACH-002290	908448	NKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_6390_3_s_m04_1	P02	6390	No	22/8/18	M04	3	ES8	Ewing's Sarcoma	Bone	SIDM00261	Unknown	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Ewing's Sarcoma	Unknown	Male	Unknown	Unknown	ACH-002109	949155	ES8_BONE
180822_e0022_p02_6390_2_s_m04_1	P02	6390	No	22/8/18	M04	2	ES8	Ewing's Sarcoma	Bone	SIDM00261	Unknown	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Ewing's Sarcoma	Unknown	Male	Unknown	Unknown	ACH-002109	949155	ES8_BONE
180822_e0022_p02_2049_1_s_m04_1	P02	2049	No	22/8/18	M04	1	RPMI-8402	T-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00403	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Childhood T Acute Lymphoblastic Leukemia	Peripheral blood	Female	Unknown	Unknown	ACH-000636	909702	RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_2495_1_s_m04_1	P02	2495	No	22/8/18	M04	1	NKM-1	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00576	Unknown	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Adult Acute Myeloid Leukemia	Peripheral blood	Unknown	Unknown	Unknown	ACH-002290	908448	NKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_2921_2_s_m04_1	P02	2921	No	22/8/18	M04	2	HSC-39	Gastric Carcinoma	Stomach	SIDM00045	Unknown	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Signet Ring Cell Gastric Adenocarcinoma	Unknown	Unknown	Unknown	Unknown	ACH-002141	1322224	HSC39_STOMACH
180824_e0022_p02_ 8064_2 _s_m04_1	P02	8064	No	24/8/18	M04	2	KURAMOCHI	Ovarian Carcinoma	Ovary	SIDM00554	Unknown	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	High Grade Ovarian Serous Adenocarcinoma	Ascites	Female	East Asian	Unknown	ACH-000524	909975	KURAMOCHI_OVARY
180824_e0022_p02_ 8064_3 _s_m04_1	P02	8064	No	24/8/18	M04	3	KURAMOCHI	Ovarian Carcinoma	Ovary	SIDM00554	Unknown	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	High Grade Ovarian Serous Adenocarcinoma	Ascites	Female	East Asian	Unknown	ACH-000524	909975	KURAMOCHI_OVARY
180824_e0022_p02_ 7052_3 _s_m04_1	P02	7052	No	24/8/18	M04	3	UACC-62	Melanoma	Skin	SIDM00107	Unknown	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Melanoma	Unknown	Unknown	Unknown	Unknown	ACH-000425	905976	UACC62_SKIN
180824_e0022_p02_ 8497_3 _s_m04_1	P02	8497	No	24/8/18	M04	3	Ca9-22	Head and Neck Carcinoma	Head and Neck	SIDM00489	Adherent	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Gingival Squamous Cell Carcinoma	"Oral, gingiva"	Male	East Asian	Unknown	ACH-002043	753538	CA922_UPPER_AERODIGESTIVE_TRACT
180824_e0022_p02_ 6452_1 _s_m04_1	P02	6452	No	24/8/18	M04	1	COLO-684	Endometrial Carcinoma	Endometrium	SIDM00142	Suspension	MSI	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Endometrial Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000864	910691	COLO684_ENDOMETRIUM
180824_e0022_p02_ 6452_2 _s_m04_1	P02	6452	No	24/8/18	M04	2	COLO-684	Endometrial Carcinoma	Endometrium	SIDM00142	Suspension	MSI	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Endometrial Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000864	910691	COLO684_ENDOMETRIUM
180824_e0022_p02_ 2166_3 _s_m04_1	P02	2166	No	24/8/18	M04	3	SW13	Other Solid Carcinomas	Adrenal Gland	SIDM00814	Adherent	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Adrenal Cortex Carcinoma	Adrenal Cortex	Female	White	Unknown	ACH-001401	909744	SW13_ADRENAL_CORTEX
180824_e0022_p02_ 2522_2 _s_m04_1	P02	2522	No	24/8/18	M04	2	SF539	Glioblastoma	Central Nervous System	SIDM00083	Unknown	MSS	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	Gliosarcoma	Unknown	Female	Unknown	Unknown	ACH-000273	905984	SF539_CENTRAL_NERVOUS_SYSTEM
180824_e0022_p02_ 8064_1 _s_m04_1	P02	8064	No	24/8/18	M04	1	KURAMOCHI	Ovarian Carcinoma	Ovary	SIDM00554	Unknown	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	High Grade Ovarian Serous Adenocarcinoma	Ascites	Female	East Asian	Unknown	ACH-000524	909975	KURAMOCHI_OVARY
180824_e0022_p02_ 8497_2 _s_m04_1	P02	8497	No	24/8/18	M04	2	Ca9-22	Head and Neck Carcinoma	Head and Neck	SIDM00489	Adherent	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Gingival Squamous Cell Carcinoma	"Oral, gingiva"	Male	East Asian	Unknown	ACH-002043	753538	CA922_UPPER_AERODIGESTIVE_TRACT
180824_e0022_p02_ 7052_2 _s_m04_1	P02	7052	No	24/8/18	M04	2	UACC-62	Melanoma	Skin	SIDM00107	Unknown	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Melanoma	Unknown	Unknown	Unknown	Unknown	ACH-000425	905976	UACC62_SKIN
180824_e0022_p02_ 2166_2 _s_m04_1	P02	2166	No	24/8/18	M04	2	SW13	Other Solid Carcinomas	Adrenal Gland	SIDM00814	Adherent	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Adrenal Cortex Carcinoma	Adrenal Cortex	Female	White	Unknown	ACH-001401	909744	SW13_ADRENAL_CORTEX
180824_e0022_p02_ 2522_3 _s_m04_1	P02	2522	No	24/8/18	M04	3	SF539	Glioblastoma	Central Nervous System	SIDM00083	Unknown	MSS	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	Gliosarcoma	Unknown	Female	Unknown	Unknown	ACH-000273	905984	SF539_CENTRAL_NERVOUS_SYSTEM
180824_e0022_p02_ 8497_1 _s_m04_1	P02	8497	No	24/8/18	M04	1	Ca9-22	Head and Neck Carcinoma	Head and Neck	SIDM00489	Adherent	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Gingival Squamous Cell Carcinoma	"Oral, gingiva"	Male	East Asian	Unknown	ACH-002043	753538	CA922_UPPER_AERODIGESTIVE_TRACT
180824_e0022_p02_ 2522_1 _s_m04_1	P02	2522	No	24/8/18	M04	1	SF539	Glioblastoma	Central Nervous System	SIDM00083	Unknown	MSS	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	Gliosarcoma	Unknown	Female	Unknown	Unknown	ACH-000273	905984	SF539_CENTRAL_NERVOUS_SYSTEM
180824_e0022_p02_ 6452_3 _s_m04_1	P02	6452	No	24/8/18	M04	3	COLO-684	Endometrial Carcinoma	Endometrium	SIDM00142	Suspension	MSI	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Endometrial Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000864	910691	COLO684_ENDOMETRIUM
180824_e0022_p02_ 2166_1 _s_m04_1	P02	2166	No	24/8/18	M04	1	SW13	Other Solid Carcinomas	Adrenal Gland	SIDM00814	Adherent	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Adrenal Cortex Carcinoma	Adrenal Cortex	Female	White	Unknown	ACH-001401	909744	SW13_ADRENAL_CORTEX
180824_e0022_p02_ 7052_1 _s_m04_1	P02	7052	No	24/8/18	M04	1	UACC-62	Melanoma	Skin	SIDM00107	Unknown	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Melanoma	Unknown	Unknown	Unknown	Unknown	ACH-000425	905976	UACC62_SKIN
180914_e0022_p02_ 7949_3 _s_m04_1	P02	7949	No	14/9/18	M04	3	MDA-MB-175-VII	Breast Carcinoma	Breast	SIDM00633	Semi-Adherent	MSS	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	Invasive Ductal Carcinoma not Otherwise Specified	Pleural effusion	Female	Black	Unknown	ACH-000759	908120	MDAMB175VII_BREAST
180914_e0022_p02_ 7949_1 _s_m04_1	P02	7949	No	14/9/18	M04	1	MDA-MB-175-VII	Breast Carcinoma	Breast	SIDM00633	Semi-Adherent	MSS	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	Invasive Ductal Carcinoma not Otherwise Specified	Pleural effusion	Female	Black	Unknown	ACH-000759	908120	MDAMB175VII_BREAST
180914_e0022_p02_ 3382_3 _s_m04_1	P02	3382	No	14/9/18	M04	3	NCI-H524	Small Cell Lung Carcinoma	Lung	SIDM01129	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Small Cell Lung Carcinoma	Lymph node 	Male	White	Unknown	ACH-000816	908483	NCIH524_LUNG
180914_e0022_p02_ 3382_1 _s_m04_1	P02	3382	No	14/9/18	M04	1	NCI-H524	Small Cell Lung Carcinoma	Lung	SIDM01129	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Small Cell Lung Carcinoma	Lymph node 	Male	White	Unknown	ACH-000816	908483	NCIH524_LUNG
180914_e0022_p02_ 3382_2 _s_m04_1	P02	3382	No	14/9/18	M04	2	NCI-H524	Small Cell Lung Carcinoma	Lung	SIDM01129	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Small Cell Lung Carcinoma	Lymph node 	Male	White	Unknown	ACH-000816	908483	NCIH524_LUNG
180914_e0022_p02_ 7949_2 _s_m04_1	P02	7949	No	14/9/18	M04	2	MDA-MB-175-VII	Breast Carcinoma	Breast	SIDM00633	Semi-Adherent	MSS	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	Invasive Ductal Carcinoma not Otherwise Specified	Pleural effusion	Female	Black	Unknown	ACH-000759	908120	MDAMB175VII_BREAST
180914_e0022_p02_ 3477_2 _s_m04_1	P02	3477	No	14/9/18	M04	2	BxPC-3	Pancreatic Carcinoma	Pancreas	SIDM00132	Adherent	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Pancreatic Ductal Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000535	906693	BXPC3_PANCREAS
180914_e0022_p02_ 3409_1 _s_m04_1	P02	3409	No	14/9/18	M04	1	NCI-H847	Small Cell Lung Carcinoma	Lung	SIDM01149	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Small Cell Lung Carcinoma	Pleural effusion	Male	White	Unknown	ACH-001365	1240193	NCIH847_LUNG
180914_e0022_p02_ 2143_1 _s_m04_1	P02	2143	No	14/9/18	M04	1	ST486	Burkitt's Lymphoma	Haematopoietic and Lymphoid	SIDM01198	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Burkitt's Lymphoma	Ascites	Female	Unknown	Unknown	ACH-000567	910906	ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180914_e0022_p02_ 2879_1 _s_m04_1	P02	2879	No	14/9/18	M04	1	Hs-766T	Pancreatic Carcinoma	Pancreas	SIDM00664	Adherent	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Pancreatic Adenocarcinoma	Lymph node	Male	White	Unknown	ACH-000178	1298141	HS766T_PANCREAS
180914_e0022_p02_ 2143_2 _s_m04_1	P02	2143	No	14/9/18	M04	2	ST486	Burkitt's Lymphoma	Haematopoietic and Lymphoid	SIDM01198	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Burkitt's Lymphoma	Ascites	Female	Unknown	Unknown	ACH-000567	910906	ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180914_e0022_p02_ 2143_3 _s_m04_1	P02	2143	No	14/9/18	M04	3	ST486	Burkitt's Lymphoma	Haematopoietic and Lymphoid	SIDM01198	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Burkitt's Lymphoma	Ascites	Female	Unknown	Unknown	ACH-000567	910906	ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180914_e0022_p02_ 6577_3 _s_m04_1	P02	6577	No	14/9/18	M04	3	MSTO-211H	Mesothelioma	Lung	SIDM00640	Adherent	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Pleural Biphasic Mesothelioma	Pleural effusion	Male	White	Unknown	ACH-000335	908152	MSTO211H_PLEURA
180914_e0022_p02_ 2879_2 _s_m04_1	P02	2879	No	14/9/18	M04	2	Hs-766T	Pancreatic Carcinoma	Pancreas	SIDM00664	Adherent	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Pancreatic Adenocarcinoma	Lymph node	Male	White	Unknown	ACH-000178	1298141	HS766T_PANCREAS
180914_e0022_p02_ 2879_3 _s_m04_1	P02	2879	No	14/9/18	M04	3	Hs-766T	Pancreatic Carcinoma	Pancreas	SIDM00664	Adherent	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Pancreatic Adenocarcinoma	Lymph node	Male	White	Unknown	ACH-000178	1298141	HS766T_PANCREAS
180914_e0022_p02_ 8213_3 _s_m04_1	P02	8213	No	14/9/18	M04	3	LC4-1	B-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00549	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Childhood Precursor B Lymphoblastic Leukemia	Peripheral blood	Female	Unknown	Unknown	ACH-002267	907787	LC41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180914_e0022_p02_ 8736_2 _s_m04_1	P02	8736	No	14/9/18	M04	2	PA-TU-8902	Pancreatic Carcinoma	Pancreas	SIDM00455	Adherent	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Pancreatic Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000599	1298526	PATU8902_PANCREAS
180914_e0022_p02_ 6429_2 _s_m04_1	P02	6429	No	14/9/18	M04	2	VCaP	Prostate Carcinoma	Prostate	SIDM01077	Adherent	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Prostate Carcinoma	Vertebral bone	Male	White	Unknown	ACH-000115	1299075	VCAP_PROSTATE
180914_e0022_p02_ 6577_1 _s_m04_1	P02	6577	No	14/9/18	M04	1	MSTO-211H	Mesothelioma	Lung	SIDM00640	Adherent	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Pleural Biphasic Mesothelioma	Pleural effusion	Male	White	Unknown	ACH-000335	908152	MSTO211H_PLEURA
180914_e0022_p02_ 6429_1 _s_m04_1	P02	6429	No	14/9/18	M04	1	VCaP	Prostate Carcinoma	Prostate	SIDM01077	Adherent	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Prostate Carcinoma	Vertebral bone	Male	White	Unknown	ACH-000115	1299075	VCAP_PROSTATE
180914_e0022_p02_ 8213_1 _s_m04_1	P02	8213	No	14/9/18	M04	1	LC4-1	B-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00549	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Childhood Precursor B Lymphoblastic Leukemia	Peripheral blood	Female	Unknown	Unknown	ACH-002267	907787	LC41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180914_e0022_p02_ 6577_2 _s_m04_1	P02	6577	No	14/9/18	M04	2	MSTO-211H	Mesothelioma	Lung	SIDM00640	Adherent	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Pleural Biphasic Mesothelioma	Pleural effusion	Male	White	Unknown	ACH-000335	908152	MSTO211H_PLEURA
180914_e0022_p02_ 8736_3 _s_m04_1	P02	8736	No	14/9/18	M04	3	PA-TU-8902	Pancreatic Carcinoma	Pancreas	SIDM00455	Adherent	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Pancreatic Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000599	1298526	PATU8902_PANCREAS
180914_e0022_p02_ 3477_3 _s_m04_1	P02	3477	No	14/9/18	M04	3	BxPC-3	Pancreatic Carcinoma	Pancreas	SIDM00132	Adherent	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Pancreatic Ductal Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000535	906693	BXPC3_PANCREAS
180914_e0022_p02_ 3477_1 _s_m04_1	P02	3477	No	14/9/18	M04	1	BxPC-3	Pancreatic Carcinoma	Pancreas	SIDM00132	Adherent	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Pancreatic Ductal Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000535	906693	BXPC3_PANCREAS
180914_e0022_p02_ 2636_2 _s_m04_1	P02	2636	No	14/9/18	M04	2	DAN-G	Pancreatic Carcinoma	Pancreas	SIDM00950	Adherent	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Pancreatic Adenocarcinoma	Unknown	Unknown	Unknown	Unknown	ACH-000243	1290797	DANG_PANCREAS
