,Sanger&CMRI,Broad
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,-0.3754827720390742,-0.1509888709375329
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY,-0.37467242417902513,-0.22910358490319208
REACTOME_INTERLEUKIN_1_SIGNALING,-0.37386193502509174,-0.24853028376208205
REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY,-0.3720474975980557,-0.2103684307410888
REACTOME_MAPK6_MAPK4_SIGNALING,-0.37084777772431055,-0.2451165691114878
REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,-0.3701903274064737,-0.19550017004646872
GO_TRANSLATION_INITIATION_FACTOR_ACTIVITY,-0.36935939669323925,-0.31302683915215507
REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,-0.36817532372615314,-0.17999552343506137
REACTOME_AGGREPHAGY,-0.3671503672219313,-0.2974782595082496
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR,-0.3658219228703917,-0.31524709001564705
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES,-0.36134464614825124,-0.34387089379420244
REACTOME_REGULATION_OF_RAS_BY_GAPS,-0.36081805144340257,-0.18297490380522966
ZAMORA_NOS2_TARGETS_UP,-0.3606339915270171,-0.2383105341667636
REACTOME_UCH_PROTEINASES,-0.3594338879754546,-0.10663086585555566
REACTOME_HEDGEHOG_OFF_STATE,-0.3588789651638675,-0.18707545406215742
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,-0.35720299854781906,-0.2915657074807607
GO_CYTOPLASMIC_TRANSLATIONAL_INITIATION,-0.35666080757465607,-0.30561780777468095
KEGG_PENTOSE_PHOSPHATE_PATHWAY,-0.3549555410468012,-0.38686129309767253
GO_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION,-0.35398047225858725,-0.18502300906047617
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,-0.35031450917201845,-0.33260765176119395
GO_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION,-0.3477359190417463,-0.17099453529924044
GO_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS,-0.3463401286292216,-0.1624401232367542
GO_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY,-0.3444662247527431,-0.15693911356677662
REACTOME_DNA_REPLICATION,-0.3408372474246462,-0.18182414605326164
GO_NIK_NF_KAPPAB_SIGNALING,-0.3388663934494482,-0.17159171318111807
GO_UBIQUITIN_LIKE_PROTEIN_SPECIFIC_PROTEASE_ACTIVITY,-0.33188876219803326,-0.10986604836378748
REACTOME_HEDGEHOG_ON_STATE,-0.3292126333957088,-0.167597812335063
GO_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_IN_RESPONSE_TO_STRESS,-0.3279041008528945,-0.12920296113140187
PID_LKB1_PATHWAY,-0.32698307032078217,-0.24530466130924494
REACTOME_SIGNALING_BY_NOTCH4,-0.32619617918961846,-0.09247574713274558
REACTOME_G2_M_CHECKPOINTS,-0.3256583065697273,-0.14635202288132385
REACTOME_MITOTIC_G2_G2_M_PHASES,-0.3243862226154516,-0.2414549140002463
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,-0.32386540720758866,-0.1762413920933989
REACTOME_HEDGEHOG_LIGAND_BIOGENESIS,-0.321063251752393,-0.11178722792419336
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,-0.32061908209651296,-0.18131962934946685
GO_FC_EPSILON_RECEPTOR_SIGNALING_PATHWAY,-0.31860495701353037,-0.30286731119403715
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,-0.3164932375454779,-0.2641342196953674
GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION,-0.31550260976439637,-0.14832648312015737
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,-0.3127717889940504,-0.22771735368914306
GO_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY,-0.3120811803219344,-0.04985606136716182
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES,-0.3092224578134967,-0.27928843306365275
GO_INNATE_IMMUNE_RESPONSE_ACTIVATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,-0.30912472125160156,-0.14305798309005166
GO_CILIARY_BASAL_BODY_PLASMA_MEMBRANE_DOCKING,-0.308640996510153,-0.14665787203309769
REACTOME_CLEC7A_DECTIN_1_SIGNALING,-0.30690094716503574,-0.26591062678140676
GO_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,-0.304599896466475,-0.35457469567809524
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,-0.3025350341472359,-0.1839496560212488
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,-0.3023226347451784,-0.3603960543816422
GO_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION,-0.3021627064820181,-0.2287377981157001
GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY,-0.29967973436395695,0.002497886904829921
GO_RAN_GTPASE_BINDING,-0.2970377206974627,-0.13552149120928417
REACTOME_PCP_CE_PATHWAY,-0.2969353031897728,-0.0812159638221028
WONG_PROTEASOME_GENE_MODULE,-0.2969267922010437,-0.2690277444461014
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,-0.29499498875696006,-0.10871812433722207
REACTOME_NEDDYLATION,-0.2949296556943942,-0.18808608517306002
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,-0.29488226910294163,-0.026597652093700175
GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL,-0.29406419821663676,-0.11925642693856857
REACTOME_TOLL_LIKE_RECEPTOR_10_TLR10_CASCADE,-0.2937490176110328,-0.31891860809997297
GO_PROTEIN_POLYUBIQUITINATION,-0.29286475155146463,-0.15228260552351544
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2,-0.2918484561883385,-0.1368929069546788
GO_PEPTIDASE_COMPLEX,-0.2888520730382446,-0.10726820170206786
GO_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE,-0.28829637009699705,-0.29183282786768294
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3,-0.28644043599686125,-0.06542730169713375
REACTOME_SIGNALING_BY_HEDGEHOG,-0.28571618312311736,-0.10611596764754788
REACTOME_S_PHASE,-0.28555625456441647,-0.14174055061505866
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES,-0.28330634127362087,-0.2461901086729472
GO_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,-0.28062524203501976,-0.35899619967265717
GO_NUCLEOTIDE_SUGAR_BIOSYNTHETIC_PROCESS,-0.2795182211693622,-0.36985830833126604
REACTOME_ABC_TRANSPORTER_DISORDERS,-0.27454859405651566,-0.034208918209092394
FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN,-0.27436316668953803,-0.15482254356100558
REACTOME_CILIUM_ASSEMBLY,-0.27080385388672584,-0.1854225647832765
GO_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY,-0.2707537024659866,-0.008843391706392688
GO_RESPONSE_TO_INTERLEUKIN_1,-0.2696714480982027,-0.09839829877971676
GO_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,-0.2696167438261492,-0.4250969339456786
GO_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY,-0.2696006739953382,-0.017058893191174342
REACTOME_RHO_GTPASES_ACTIVATE_PKNS,-0.2684855418166062,-0.2371793196158699
TIEN_INTESTINE_PROBIOTICS_2HR_UP,-0.2670417139994667,-0.05854806772037928
REACTOME_AURKA_ACTIVATION_BY_TPX2,-0.26683097694661256,-0.24888752915050313
GO_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM,-0.2663739855124594,0.010601324222117101
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,-0.2663690457324142,-0.3190326631747388
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,-0.2657256700918392,-0.2658960928698782
GO_HSP90_PROTEIN_BINDING,-0.26540903224076456,-0.23526137126476052
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.2637656640124851,-0.2836336365985436
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,-0.2636097991719595,-0.23365922703994008
PID_P53_REGULATION_PATHWAY,-0.2623932551764489,-0.10199131226429789
GO_FC_RECEPTOR_SIGNALING_PATHWAY,-0.26105625138648997,-0.2431254658046199
BILANGES_SERUM_RESPONSE_TRANSLATION,-0.26031737984514236,-0.21846706334298902
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,-0.26008877938785463,-0.23707749652414672
REACTOME_TCR_SIGNALING,-0.25843638044605305,-0.29322679667757884
GO_POSTREPLICATION_REPAIR,-0.2582038949494539,-0.14183639594682462
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,-0.25752469232525693,-0.15734321596633857
GO_REGULATION_OF_STEM_CELL_DIFFERENTIATION,-0.25682657273792,-0.06242066057189155
GO_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION,-0.2555967335859323,-0.1551657080235057
LI_LUNG_CANCER,-0.2552019015248666,-0.08170826274956346
CAMP_UP.V1_DN,-0.2540062047717368,-0.021766235899684995
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,-0.25393555342723634,-0.06871403867821939
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,-0.25287716094529294,-0.13394435389335524
CSR_LATE_UP.V1_UP,-0.2518942758433239,-0.1265582433783195
GO_POLYUBIQUITIN_MODIFICATION_DEPENDENT_PROTEIN_BINDING,-0.2507427634103085,-0.22598157023474424
REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION,-0.250691022474928,-0.24518988712868758
REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER,-0.2500549288566694,-0.029530331080636477
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,-0.24952637713345122,-0.2181051755029658
GO_DAMAGED_DNA_BINDING,-0.24950933416111337,-0.04981413797867363
GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING,-0.24834769096908652,-0.23073054366717954
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING,-0.24693551460655844,0.010059352231835988
GO_TRANSLATIONAL_INITIATION,-0.24587509430285054,-0.2341855229253506
GO_FICOLIN_1_RICH_GRANULE,-0.24530037080334913,-0.13831834014256453
REACTOME_FLT3_SIGNALING,-0.24441290802621085,-0.06141367198067535
GO_NUCLEOCYTOPLASMIC_CARRIER_ACTIVITY,-0.24331585716495543,-0.26653455982930013
REACTOME_DNA_STRAND_ELONGATION,-0.2428301566720819,-0.223264519467454
GO_CELLULAR_METABOLIC_COMPOUND_SALVAGE,-0.2427454688479207,-0.2749496393333563
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS,-0.24109330297110604,-0.17648787152214046
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,-0.24074961656499097,-0.19660427795959465
GO_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY,-0.24014625141697912,-0.015741911991855623
GO_AMINE_METABOLIC_PROCESS,-0.2393261973610827,-0.04003626558007991
BIOCARTA_INTEGRIN_PATHWAY,-0.23834090757604973,-0.1422882072656657
REACTOME_SELENOAMINO_ACID_METABOLISM,-0.23827259436420858,-0.31723920161056146
GO_CYTOKINETIC_PROCESS,-0.23821764576193313,-0.17109776524143827
REACTOME_DEUBIQUITINATION,-0.23713870460376937,-0.0967790794630901
GO_VIRION_ASSEMBLY,-0.23649115610236096,-0.13571100120992585
GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION,-0.23642571358731584,-0.13233465057648752
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,-0.23615092167438517,-0.31599970240703235
REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES,-0.23537772881408106,-0.2397943784457344
GO_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION,-0.2351384344951631,-0.08754099400874756
GO_CYTOSOLIC_RIBOSOME,-0.23390230281918112,-0.29835923969108835
GO_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,-0.2337620802314539,-0.14533325110717907
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,-0.23369644696778188,-0.15528858937122045
GO_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM,-0.2329668960277713,0.04144192315320017
GO_CELL_CYCLE_DNA_REPLICATION,-0.23294664716805238,-0.09319285281626905
GO_CYTOPLASMIC_TRANSLATION,-0.2327656763788893,-0.3166686200756098
GO_NUCLEOBASE_BIOSYNTHETIC_PROCESS,-0.23195663880747394,-0.23044575709781612
GO_NON_CANONICAL_WNT_SIGNALING_PATHWAY,-0.23113548954262772,-0.01891003194765928
GO_T_CELL_RECEPTOR_SIGNALING_PATHWAY,-0.23100119878234915,-0.2001796061886505
GO_ACTOMYOSIN,-0.23081203487943935,-0.03965398418064216
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,-0.23068643669045222,-0.11567552832483606
REACTOME_CELL_CYCLE_CHECKPOINTS,-0.230383007624611,-0.11881245544345166
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,-0.22965758147504073,3.5575537819642205e-05
GO_DNA_STRAND_ELONGATION,-0.22936837522397668,-0.1297611221876542
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE,-0.2291585516376036,-0.27920608236340766
E2F3_UP.V1_UP,-0.22899524306858277,0.022446187697710913
GO_CELL_CYCLE_G2_M_PHASE_TRANSITION,-0.22854802830892146,-0.1521020126809257
GO_PURINE_NUCLEOBASE_METABOLIC_PROCESS,-0.22778329382334805,-0.11896884615260524
GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PENTOSYL_GROUPS,-0.22766962943995228,-0.06753914534478053
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,-0.22642284252296851,-0.18974348008380915
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,-0.22591161780536953,-0.2784231365370899
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,-0.225611643093819,-0.32234520802987165
GO_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR,-0.22539392442353542,-0.13106800138344163
GO_TRANSLESION_SYNTHESIS,-0.2251567103534771,-0.1343707907647437
GO_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING,-0.2234963307831679,-0.22277044241611893
REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER,-0.2224843737972462,-0.02088703075881891
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,-0.22204117950883262,-0.2526251277218333
KEGG_GLUTATHIONE_METABOLISM,-0.22057194001319963,-0.09154535988209146
GO_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY,-0.21872027929953639,-0.04714065635459121
PID_MTOR_4PATHWAY,-0.21781588508078215,-0.18340416095564036
REACTOME_KINESINS,-0.2172552564532367,-0.20795584897732639
REACTOME_RECYCLING_PATHWAY_OF_L1,-0.217139653200796,-0.19913637871796902
GO_MICROTUBULE_ASSOCIATED_COMPLEX,-0.21688090907382884,-0.2338239357424227
PID_ILK_PATHWAY,-0.2168533914883777,-0.25715781832866924
GO_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY,-0.21670457464064438,-0.11163092576960067
GO_ACTIN_FILAMENT_BUNDLE,-0.2161280661177599,-0.03281980075304912
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,-0.21551846387011261,-0.19313720685053198
GO_CANONICAL_WNT_SIGNALING_PATHWAY,-0.21544089729911542,0.036739396569682746
GO_CELL_CELL_RECOGNITION,-0.21280596098809598,-0.027534603141287306
GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION,-0.21250705539818837,-0.05569525027319906
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,-0.2122846175387191,-0.27570890031060064
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,-0.21206694125599782,-0.13514562090378562
GO_ACTIN_NUCLEATION,-0.21119436048149662,-0.19199735359001513
GO_TELOMERE_MAINTENANCE_VIA_SEMI_CONSERVATIVE_REPLICATION,-0.21098056415819075,-0.17284910107084095
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES,-0.21086043015478897,-0.21273964492429967
KEGG_DNA_REPLICATION,-0.21048064320175744,-0.1972867553632555
GO_CELL_CYCLE_PHASE_TRANSITION,-0.20934628117301923,-0.12046779681350783
GO_REGULATION_OF_NIK_NF_KAPPAB_SIGNALING,-0.209139695604087,-0.07902269976329845
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,-0.2082504491409437,-0.14471971710221976
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,-0.20788813206759413,-0.1996601411144926
GO_REGULATION_OF_MICROTUBULE_POLYMERIZATION,-0.20738964048460823,-0.17714052293861154
PID_RHOA_PATHWAY,-0.2071248701870102,-0.0846754902748793
KEGG_RIBOSOME,-0.2065621525124662,-0.28277166802273934
GO_REGULATION_OF_CELLULAR_KETONE_METABOLIC_PROCESS,-0.20443714535148097,0.011397980224893325
REACTOME_PARASITE_INFECTION,-0.2041242238950942,-0.1937481817196432
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I,-0.20325156640923359,-0.05233888185586435
REN_BOUND_BY_E2F,-0.2026678016916955,-0.14163860000279244
PID_ERBB1_DOWNSTREAM_PATHWAY,-0.202542942459323,-0.1681951446499139
REACTOME_LAGGING_STRAND_SYNTHESIS,-0.20213963550646522,-0.22802017797359128
REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS,-0.20213963550646522,-0.18035505879638367
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,-0.20199716724764805,-0.2914966809638786
GO_LAMELLIPODIUM_ORGANIZATION,-0.20188800181353214,-0.11985684064733956
KAMMINGA_EZH2_TARGETS,-0.20172452813375144,-0.11981344269856857
GO_PROTEIN_TYROSINE_KINASE_BINDING,-0.19950814812000658,-0.0682673828445714
GO_MEMBRANE_COAT,-0.19919292289647247,-0.19120885445631766
GO_NUCLEOBASE_METABOLIC_PROCESS,-0.19869319204208744,-0.08864018553142873
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,-0.1985274688212941,-0.02248712050027763
GO_NUCLEOTIDE_SUGAR_METABOLIC_PROCESS,-0.19775653411580685,-0.1277852737645962
GO_RECEPTOR_TYROSINE_KINASE_BINDING,-0.1975855790461729,-0.10143827936369902
GO_TRANSLATION_REGULATOR_ACTIVITY,-0.19737353143185143,-0.18548370520306554
REACTOME_PTEN_REGULATION,-0.1966992626344414,-0.038894523116860605
GO_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION,-0.19642361291619168,-0.11109600290873979
TIEN_INTESTINE_PROBIOTICS_6HR_UP,-0.19558521726834396,-0.09167748730549881
SIG_CHEMOTAXIS,-0.1955794477594421,-0.21108916838064593
REACTOME_DNA_DAMAGE_BYPASS,-0.19527696111977347,-0.14277005759409672
GO_PHOSPHATASE_REGULATOR_ACTIVITY,-0.19499399769166612,-0.15201141780292757
REACTOME_HSF1_ACTIVATION,-0.1949785906920183,-0.1460500586980858
GO_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_INTERCONVERSION,-0.1947101989215469,-0.2207363202470966
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,-0.19428317568736683,-0.2467333857498414
HOLLEMAN_VINCRISTINE_RESISTANCE_ALL_DN,-0.19346911717512189,-0.0971094533622298
GO_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS,-0.19337587121612845,0.07383116918622087
REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,-0.1918718005350828,-0.20515570139743475
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-0.19164846461011817,-0.20731678734672737
GO_NUCLEOTIDE_EXCISION_REPAIR_DNA_GAP_FILLING,-0.19158019215045413,-0.15875867334930155
PID_FCER1_PATHWAY,-0.19110451135926246,-0.2134908770420754
GO_NEGATIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION,-0.19093015019907736,-0.1415185989898872
GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION,-0.1889080211897765,-0.026362749930498836
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,-0.18877897929600418,-0.03813285937503488
PID_RET_PATHWAY,-0.1871840651965804,-0.19649801966881253
PID_PI3K_PLC_TRK_PATHWAY,-0.18716663763386457,-0.14083844971871617
REACTOME_METABOLISM_OF_NUCLEOTIDES,-0.18684654747294335,-0.17832418691344876
GO_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,-0.18569945073043503,-0.002412657868306366
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,-0.18525374698993252,-0.047509356039213385
REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS,-0.18522742510230855,-0.17885721252612385
KEGG_CELL_CYCLE,-0.18363619328382366,-0.089786532679605
GO_POSITIVE_REGULATION_OF_NIK_NF_KAPPAB_SIGNALING,-0.183454200984245,-0.07194454542480438
GO_ANTEROGRADE_AXONAL_TRANSPORT,-0.18306342798498093,-0.17228342331137353
REACTOME_SIGNALING_BY_NOTCH,-0.18220125927975286,0.002545392445444529
GO_RESPONSE_TO_EPIDERMAL_GROWTH_FACTOR,-0.18189400732455124,-0.049964833398295
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,-0.18120264465345698,-0.19628922365177048
CROONQUIST_NRAS_SIGNALING_DN,-0.18107609942010786,-0.15436869662737546
FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP,-0.18081500814632484,0.0015383302725543518
GO_REGULATION_OF_WNT_SIGNALING_PATHWAY,-0.1805650503987235,0.033258282036400515
