Cell_line	Cancer_type	Tissue_type	SIDM	growth_properties	MSI_status	methylation_data	expression_data	cnv_data	crispr_ko_data	fusion_data	drug_data	cancer_type_detail	sample_site	gender	ethnicity	smoking_status	BROAD_ID	COSMIC_ID	CCLE_ID
LC4-1	B-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00549	Suspension	MSS	True	True	True	False	True	True	Childhood Precursor B Lymphoblastic Leukemia	Peripheral blood	Female	Unknown	Unknown	ACH-002267	907787	LC41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PA-TU-8902	Pancreatic Carcinoma	Pancreas	SIDM00455	Adherent	MSS	True	True	True	True	True	True	Pancreatic Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000599	1298526	PATU8902_PANCREAS
VCaP	Prostate Carcinoma	Prostate	SIDM01077	Adherent	MSS	True	True	True	False	True	True	Prostate Carcinoma	Vertebral bone	Male	White	Unknown	ACH-000115	1299075	VCAP_PROSTATE
DAN-G	Pancreatic Carcinoma	Pancreas	SIDM00950	Adherent	MSS	True	True	True	True	True	True	Pancreatic Adenocarcinoma	Unknown	Unknown	Unknown	Unknown	ACH-000243	1290797	DANG_PANCREAS
CAL-148	Breast Carcinoma	Breast	SIDM00938	Adherent	MSS	True	True	True	False	True	True	Breast Carcinoma	Pleural Effusion	Female	Unknown	Unknown	ACH-000902	924106	CAL148_BREAST
DB	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00886	Suspension	MSS	True	True	True	False	False	True	Diffuse Large B-Cell Lymphoma	Ascites	Male	White	Unknown	ACH-000334	906832	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
TGW	Neuroblastoma	Peripheral Nervous System	SIDM00324	Unknown	MSS	True	True	True	True	True	True	Adrenal Neuroblastoma	Adrenal Gland	Unknown	Unknown	Unknown	ACH-001674	910780	TGW_AUTONOMIC_GANGLIA
WSU-NHL	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00412	Suspension	MSI	True	True	True	False	True	True	Follicular Lymphoma	Pleural effusion	Female	Unknown	Unknown	ACH-001709	909785	WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SK-MEL-2	Melanoma	Skin	SIDM00082	Adherent	MSI	True	True	True	True	True	True	Melanoma	Skin	Male	White	Unknown	ACH-001190	905955	SKMEL2_SKIN
COR-L279	Small Cell Lung Carcinoma	Lung	SIDM00511	Suspension	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Lymph node	Male	Unknown	Unknown	ACH-000257	910937	CORL279_LUNG
NCI-H1581	Non-Small Cell Lung Carcinoma	Lung	SIDM00748	Semi-Adherent	MSS	True	True	True	False	True	True	Large Cell Lung Carcinoma	Lung	Male	White	Unknown	ACH-000015	908471	NCIH1581_LUNG
LAMA-84	Chronic Myelogenous Leukemia	Haematopoietic and Lymphoid	SIDM00346	Suspension	MSS	True	True	True	False	True	True	Chronic Myelogenous Leukemia	Peripheral blood	Female	Unknown	Unknown	ACH-000301	907783	LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NCI-H3122	Non-Small Cell Lung Carcinoma	Lung	SIDM00137	Unknown	MSS	True	True	True	True	True	True	Lung Adenocarcinoma	Unknown	Unknown	Unknown	Unknown	ACH-000337	1240190	NCIH3122_LUNG
SK-PN-DW	Other Solid Carcinomas	Central Nervous System	SIDM01097	Adherent	MSS	True	True	True	True	True	True	Primitive Neuroectodermal Tumor	Retroperitoneal embroyonal tumour	Male	White	Unknown	ACH-001193	909731	SKPNDW_BONE
MDA-MB-468	Breast Carcinoma	Breast	SIDM00628	Adherent	MSS	True	True	True	True	True	True	Breast Adenocarcinoma	Pleural effusion	Female	Black	Unknown	ACH-000849	908123	MDAMB468_BREAST
RF-48	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM01092	Unknown	MSS	True	True	True	False	False	True	Lymphoma	Unknown	Unknown	Unknown	Unknown	ACH-002301	909697	RF48_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NAMALWA	Burkitt's Lymphoma	Haematopoietic and Lymphoid	SIDM00641	Suspension	MSS	True	True	True	False	True	True	Epstein-Barr Virus-Related Burkitt s Lymphoma	Unknown	Female	Black	Unknown	ACH-000944	908159	NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
Caov-4	Ovarian Carcinoma	Ovary	SIDM00918	Adherent	MSS	True	True	True	True	True	True	High Grade Ovarian Serous Adenocarcinoma	subserosa of fallopian tube	Female	White	Unknown	ACH-000103	949090	CAOV4_OVARY
MS-1	Small Cell Lung Carcinoma	Lung	SIDM00245	Suspension	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Unknown	Male	East Asian	Unknown	ACH-001958	753594	MS1_LUNG
OCI-AML2	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00446	Suspension	MSS	True	True	True	True	True	True	Adult Acute Myeloid Leukemia	Peripheral blood	Male	Unknown	Unknown	ACH-000113	910947	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
WM-115	Melanoma	Skin	SIDM01000	Adherent	MSS	True	True	True	False	True	True	Melanoma	Unknown	Female	Unknown	Unknown	ACH-000304	909784	WM115_SKIN
SW1271	Small Cell Lung Carcinoma	Lung	SIDM01156	Adherent	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Unknown	Male	White	Unknown	ACH-000890	1299062	SW1271_LUNG
LS-513	Colorectal Carcinoma	Large Intestine	SIDM00677	Adherent	MSS	True	True	True	True	True	True	Cecum Adenocarcinoma	Cecum	Male	White	Unknown	ACH-000007	907795	LS513_LARGE_INTESTINE
Ca-Ski	Cervical Carcinoma	Cervix	SIDM00923	Adherent	MSS	True	True	True	False	True	True	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma	Small intestine	Female	White	Unknown	ACH-001336	906824	CASKI_CERVIX
RCC-JW	Kidney Carcinoma	Kidney	SIDM00817	Adherent	MSS	True	True	True	False	True	True	Clear Cell Renal Cell Carcinoma	Unknown	Male	White	Unknown	ACH-002191	1524416	RCCJW_KIDNEY
ZR-75-30	Breast Carcinoma	Breast	SIDM00971	Adherent	MSS	True	True	True	False	True	True	Invasive Ductal Carcinoma not Otherwise Specified	Ascites	Female	Black	Unknown	ACH-000828	909907	ZR7530_BREAST
HSC-2	Oral Cavity Carcinoma	Head and Neck	SIDM00590	Adherent	MSS	True	True	True	False	True	True	Oral Cavity Squamous Cell Carcinoma	Mouth	Male	Unknown	Unknown	ACH-000472	753562	HSC2_UPPER_AERODIGESTIVE_TRACT
SNU-423	Hepatocellular Carcinoma	Liver	SIDM01199	Adherent	MSS	True	True	True	False	False	True	Hepatocellular Carcinoma	Liver	Male	East Asian	Unknown	ACH-000493	909737	SNU423_LIVER
SLVL	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00374	Unknown	MSS	True	True	True	False	True	True	Splenic Marginal Zone B-Cell Lymphoma with Villous Lymphocytes	Peripheral blood	Female	East Asian	Unknown	ACH-002062	1331032	SLVL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUP-T1	T-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM01154	Suspension	MSS	True	True	True	False	True	True	Childhood Precursor T Lymphoblastic Lymphoma	Pleural effusion	Male	White	Unknown	ACH-000953	909743	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
U-698-M	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00424	Suspension	MSS	True	True	True	False	True	True	Precursor Lymphoblastic Lymphoma	Tonsil	Male	Unknown	Unknown	ACH-001680	909777	U698M_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RKN	Other Solid Carcinomas	Soft Tissue	SIDM00353	Unknown	MSS	True	True	True	True	True	True	Ovarian Leiomyosarcoma	Ovary	Female	East Asian	Unknown	ACH-000505	1298539	RKN_SOFT_TISSUE
WIL2-NS	Non-Cancerous	Haematopoietic and Lymphoid	SIDM01102	Suspension	MSS	True	True	True	False	True	True	Hereditary Spherocytosis	Spleen	Male	White	Unknown	ACH-002316	1331049	WIL2NS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HuCCT1	Biliary Tract Carcinoma	Biliary Tract	SIDM00587	Unknown	MSS	True	True	True	False	True	True	Intrahepatic Cholangiocarcinoma	Bile duct	Unknown	Unknown	Unknown	ACH-000976	907069	HUCCT1_BILIARY_TRACT
NCI-H28	Mesothelioma	Lung	SIDM00720	Adherent	MSS	True	True	True	False	True	True	Pleural Sarcomatoid Mesothelioma	Pleural effusion	Male	White	Unknown	ACH-000648	908470	NCIH28_PLEURA
NCI-H2087	Non-Small Cell Lung Carcinoma	Lung	SIDM00708	Adherent	MSS	True	True	True	True	True	True	Lung Adenocarcinoma	Lymph node	Male	White	Unknown	ACH-000841	724834	NCIH2087_LUNG
ONS-76	Other Solid Carcinomas	Central Nervous System	SIDM00567	Adherent	MSS	True	True	True	False	True	True	Medulloblastoma 	Unknown	Female	Unknown	Unknown	ACH-000776	909248	ONS76_CENTRAL_NERVOUS_SYSTEM
SW1783	Glioma	Central Nervous System	SIDM01164	Adherent	MSS	True	True	True	False	True	True	Anaplastic Astrocytoma	Unknown	Male	White	Unknown	ACH-000883	909750	SW1783_CENTRAL_NERVOUS_SYSTEM
NB14	Neuroblastoma	Peripheral Nervous System	SIDM00256	Unknown	MSS	True	True	True	False	True	True	Neuroblastoma	Unknown	Female	Unknown	Unknown	ACH-002281	949178	NB14_AUTONOMIC_GANGLIA
NCI-H1435	Non-Small Cell Lung Carcinoma	Lung	SIDM00658	Semi-Adherent	MSS	True	True	True	False	True	True	Non-Small Cell Lung Carcinoma	Lung	Female	Unknown	Unknown	ACH-000852	1298347	NCIH1435_LUNG
SK-N-AS	Neuroblastoma	Peripheral Nervous System	SIDM01101	Adherent	MSS	True	True	True	True	False	True	Neuroblastoma	Bone marrow	Female	White	Unknown	ACH-000260	724828	SKNAS_AUTONOMIC_GANGLIA
HAL-01	B-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00289	Suspension	MSS	True	True	True	False	False	True	B Acute Lymphoblastic Leukemia	Unknown	Female	East Asian	Unknown	ACH-002241	949153	HAL01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KP-N-YN	Neuroblastoma	Peripheral Nervous System	SIDM00556	Unknown	MSS	True	True	True	True	True	True	Neuroblastoma	Pararenal lymph node	Unknown	Unknown	Unknown	ACH-000227	907314	KPNYN_AUTONOMIC_GANGLIA
RMG-I	Ovarian Carcinoma	Ovary	SIDM00352	Unknown	MSS	True	True	True	True	True	True	Ovarian Clear Cell Adenocarcinoma	Ascites	Female	East Asian	Unknown	ACH-000719	909699	RMGI_OVARY
NCI-H211	Small Cell Lung Carcinoma	Lung	SIDM00704	Suspension	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Unknown	Female	White	Unknown	ACH-000639	1240189	NCIH211_LUNG
PANC-02-03	Pancreatic Carcinoma	Pancreas	SIDM01139	Adherent	MSS	True	True	True	True	True	True	Pancreatic Adenocarcinoma	Pancreas	Female	White	Unknown	ACH-000042	1298475	PANC0203_PANCREAS
SKG-IIIa	Cervical Carcinoma	Cervix	SIDM00381	Unknown	MSS	True	True	True	False	True	True	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma	Uterine cervix	Female	East Asian	Unknown	ACH-002020	930298	SKGIIIA_CERVIX
OV-90	Ovarian Carcinoma	Ovary	SIDM01141	Adherent	MSS	True	True	True	True	True	True	Ovarian Adenocarcinoma	Ascites	Female	Unknown	Unknown	ACH-000291	1240197	OV90_OVARY
KNS-62	Squamous Cell Lung Carcinoma	Lung	SIDM00606	Adherent	MSS	True	True	True	True	True	True	Squamous Cell Lung Carcinoma	Brain	Male	Unknown	Unknown	ACH-000858	753569	KNS62_LUNG
SNU-449	Hepatocellular Carcinoma	Liver	SIDM01194	Adherent	MSS	True	True	True	False	True	True	Hepatocellular Carcinoma	Liver	Male	East Asian	Unknown	ACH-000420	909738	SNU449_LIVER
SW1710	Bladder Carcinoma	Bladder	SIDM00420	Adherent	MSS	True	True	True	False	True	True	Bladder Carcinoma	Unknown	Female	White	Unknown	ACH-000566	909749	SW1710_URINARY_TRACT
KYSE-510	Esophageal Squamous Cell Carcinoma	Esophagus	SIDM01026	Adherent	MSS	True	True	True	True	True	True	Esophageal Squamous Cell Carcinoma	Cervical oesophagus	Female	East Asian	Unknown	ACH-000824	907321	KYSE510_OESOPHAGUS
NB13	Neuroblastoma	Peripheral Nervous System	SIDM00257	Unknown	MSS	True	True	True	True	True	True	Neuroblastoma	Unknown	Male	Unknown	Unknown	ACH-002280	949177	NB13_AUTONOMIC_GANGLIA
GMS-10	Glioblastoma	Central Nervous System	SIDM01074	Adherent	MSS	True	True	True	False	True	True	Glioblastoma	Unknown	Male	Unknown	Unknown	ACH-000102	906873	GMS10_CENTRAL_NERVOUS_SYSTEM
L-540	Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00329	Suspension	MSS	True	True	True	False	True	True	Hodgkin's Lymphoma	Bone marrow	Female	Unknown	Unknown	ACH-000806	907323	L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SNU-C2B	Colorectal Carcinoma	Large Intestine	SIDM00781	Semi-Adherent	MSI	True	True	True	False	True	True	Cecum Adenocarcinoma	Cecum	Female	East Asian	Unknown	ACH-001199	909740	SNUC2B_LARGE_INTESTINE
NCI-H1869	Non-Small Cell Lung Carcinoma	Lung	SIDM00768	Adherent	MSS	True	True	True	True	True	True	Non-Small Cell Lung Carcinoma	Pleural effusion	Male	White	Unknown	ACH-000894	1240183	NCIH1869_LUNG
HT-29	Colorectal Carcinoma	Large Intestine	SIDM00136	Adherent	MSS	True	True	True	True	True	True	Rectosigmoid Adenocarcinoma	Unknown	Female	White	Unknown	ACH-000552	905939	HT29_LARGE_INTESTINE
TGBC11TKB	Gastric Carcinoma	Stomach	SIDM00251	Adherent	MSI	True	True	True	False	True	True	Gastric Carcinoma	Lymph Node	Female	East Asian	Unknown	ACH-000949	909770	TGBC11TKB_STOMACH
A375	Melanoma	Skin	SIDM00795	Adherent	MSS	True	True	True	True	True	True	Amelanotic Melanoma	Skin	Female	Unknown	Unknown	ACH-000219	906793	A375_SKIN
A549	Non-Small Cell Lung Carcinoma	Lung	SIDM00903	Adherent	MSS	True	True	True	True	True	True	Lung Adenocarcinoma	Unknown	Male	White	Unknown	ACH-000681	905949	A549_LUNG
Raji	Burkitt's Lymphoma	Haematopoietic and Lymphoid	SIDM00844	Suspension	MSS	True	True	True	False	True	True	Epstein-Barr Virus-Related Burkitt s Lymphoma	Maxilla	Male	Black	Unknown	ACH-000654	909262	RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
JVM-3	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM01012	Suspension	MSS	True	True	True	False	True	True	B-Cell Prolymphocytic Leukemia	Peripheral blood	Male	Unknown	Unknown	ACH-000346	907270	JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
BL-41	Burkitt's Lymphoma	Haematopoietic and Lymphoid	SIDM00985	Suspension	MSS	True	True	True	False	True	True	Burkitt's Lymphoma	Unknown	Male	White	Unknown	ACH-000245	910706	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
WM1552C	Melanoma	Skin	SIDM00976	Adherent	MSS	True	True	True	False	True	True	Melanoma	Unknown	Male	Unknown	Unknown	ACH-002205	1299078	WM1552C_SKIN
VMRC-LCD	Non-Small Cell Lung Carcinoma	Lung	SIDM00320	Unknown		True	True	True	True	True	True	Lung Adenocarcinoma	Unknown	Male	Unknown	Unknown	ACH-001233	713869	VMRCLCD_LUNG
SK-N-SH	Neuroblastoma	Peripheral Nervous System	SIDM01098	Adherent	MSS	True	True	True	True	True	True	Neuroblastoma	Bone marrow	Female	Unknown	Unknown	ACH-000149	717431	SKNSH_AUTONOMIC_GANGLIA
PANC-10-05	Pancreatic Carcinoma	Pancreas	SIDM01135	Adherent	MSS	True	True	True	True	False	True	Pancreatic Ductal Adenocarcinoma	Pancreas	Male	White	Unknown	ACH-000060	925348	PANC1005_PANCREAS
PL18	Pancreatic Carcinoma	Pancreas	SIDM00054	Unknown	MSS	True	True	True	False	True	True	Pancreatic Adenocarcinoma	Unknown	Unknown	Unknown	Unknown	ACH-002185	1240208	PL18_PANCREAS
SW872	Other Solid Carcinomas	Soft Tissue	SIDM01159	Adherent	MSS	True	True	True	False	True	True	Liposarcoma	Connective tissue	Male	White	Unknown	ACH-002310	909756	SW872_SOFT_TISSUE
NCI-H2009	Non-Small Cell Lung Carcinoma	Lung	SIDM00756	Adherent	MSS	True	True	True	False	True	True	Lung Adenocarcinoma	Lymph node	Female	White	Unknown	ACH-000886	724873	NCIH2009_LUNG
KU812	Chronic Myelogenous Leukemia	Haematopoietic and Lymphoid	SIDM00308	Suspension	MSS	True	True	True	False	True	True	Chronic Myelogenous Leukemia	Peripheral Blood	Male	East Asian	Unknown	ACH-000074	907311	KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KP-4	Pancreatic Carcinoma	Pancreas	SIDM00301	Adherent	MSS	True	True	True	True	True	True	Pancreatic Carcinoma	Ascites	Male	East Asian	Unknown	ACH-000265	753572	KP4_PANCREAS
MIA-PaCa-2	Pancreatic Carcinoma	Pancreas	SIDM00505	Semi-Adherent	MSS	True	True	True	True	True	True	Pancreatic Ductal Adenocarcinoma	Unknown	Male	White	Unknown	ACH-000601	724870	MIAPACA2_PANCREAS
PSN1	Pancreatic Carcinoma	Pancreas	SIDM00469	Adherent	MSS	True	True	True	True	True	True	Pancreatic Adenocarcinoma	Pancreas	Unknown	Unknown	Unknown	ACH-000320	910546	PSN1_PANCREAS
OCUB-M	Breast Carcinoma	Breast	SIDM00241	Adherent	MSS	True	True	True	True	True	True	Breast Carcinoma	Pleural Effusion	Female	East Asian	Unknown	ACH-002179	909256	OCUBM_BREAST
NCI-H810	Non-Small Cell Lung Carcinoma	Lung	SIDM01116	Adherent	MSS	True	True	True	False	True	True	Large Cell Lung Carcinoma	Unknown	Male	Black	Unknown	ACH-000789	925341	NCIH810_LUNG
YAPC	Pancreatic Carcinoma	Pancreas	SIDM00411	Adherent	MSS	True	True	True	False	True	True	Pancreatic Carcinoma	Ascites	Male	East Asian	Unknown	ACH-000332	909904	YAPC_PANCREAS
NTERA-2-cl-D1	Other Solid Carcinomas	Testis	SIDM01203	Adherent		True	True	False	False	False	True	Embryonal Carcinoma	Lung	Male	White	Unknown	ACH-002291	908454	NTERA2CLD1_TESTIS
MKN28	Gastric Carcinoma	Stomach	SIDM00260	Adherent	MSS	True	True	True	True	True	True	Gastric Tubular Adenocarcinoma	Liver	Male	East Asian	Unknown	ACH-002161	908139	MKN28_STOMACH
SK-CO-1	Colorectal Carcinoma	Large Intestine	SIDM01096	Adherent	MSS	True	True	True	False	True	True	Colon Adenocarcinoma	Ascites	Male	White	Unknown	ACH-000400	909718	SKCO1_LARGE_INTESTINE
SK-MEL-1	Melanoma	Skin	SIDM01107	Suspension	MSS	True	True	True	False	True	True	Melanoma	Lymphatic system	Male	White	Unknown	ACH-000465	909723	SKMEL1_SKIN
NCI-H2023	Non-Small Cell Lung Carcinoma	Lung	SIDM00753	Adherent	MSS	True	True	True	True	True	True	Non-Small Cell Lung Carcinoma	Lymph node	Male	White	Unknown	ACH-000781	1240187	NCIH2023_LUNG
SNU-16	Gastric Carcinoma	Stomach	SIDM01145	Suspension	MSS	True	True	True	True	True	True	Gastric Carcinoma	Ascites	Female	East Asian	Unknown	ACH-000581	908446	SNU16_STOMACH
MHH-ES-1	Ewing's Sarcoma	Bone	SIDM00386	Adherent	MSS	True	True	True	True	True	True	Ewing's Sarcoma	Ascites	Male	Other	Unknown	ACH-000391	908134	MHHES1_BONE
T98G	Glioblastoma	Central Nervous System	SIDM01171	Adherent	MSS	True	True	True	True	True	True	Glioblastoma	Brain	Male	White	Unknown	ACH-000571	687586	T98G_CENTRAL_NERVOUS_SYSTEM
NCI-H526	Small Cell Lung Carcinoma	Lung	SIDM01128	Suspension	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Bone marrow	Male	White	Unknown	ACH-000767	688025	NCIH526_LUNG
NCI-H226	Mesothelioma	Lung	SIDM00139	Adherent	MSS	True	True	True	True	True	True	Pleural Epithelioid Mesothelioma	Pleural Effusion	Male	Unknown	Unknown	ACH-000367	905941	NCIH226_LUNG
GAMG	Glioblastoma	Central Nervous System	SIDM01055	Adherent	MSS	True	True	True	True	True	True	Glioblastoma	Unknown	Female	Unknown	Unknown	ACH-000098	906868	GAMG_CENTRAL_NERVOUS_SYSTEM
OVMIU	Ovarian Carcinoma	Ovary	SIDM00465	Unknown	MSS	True	True	True	True	True	True	High Grade Ovarian Serous Adenocarcinoma	Ovary	Female	East Asian	Unknown	ACH-002183	1240200	OVMIU_OVARY
SK-OV-3	Ovarian Carcinoma	Ovary	SIDM00079	Adherent	MSI	True	True	True	False	True	True	Ovarian Serous Cystadenocarcinoma	Ascites	Female	White	Unknown	ACH-000811	905959	SKOV3_OVARY
SW982	Other Solid Carcinomas	Soft Tissue	SIDM01161	Adherent	MSS	True	True	True	False	True	True	Synovial Sarcoma	Synovium	Female	White	Unknown	ACH-001274	909759	SW982_SOFT_TISSUE
NCI-H82	Small Cell Lung Carcinoma	Lung	SIDM01131	Suspension	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Pleural effusion	Male	White	Unknown	ACH-000355	688031	NCIH82_LUNG
TE-5	Esophageal Squamous Cell Carcinoma	Esophagus	SIDM00347	Unknown	MSS	True	True	True	True	True	True	Esophageal Squamous Cell Carcinoma	Unknown	Female	Unknown	Unknown	ACH-000408	735784	TE5_OESOPHAGUS
